diagym,predictData,realData
2016-05,27748.443341895887,27104.0
2016-06,19074.622273972524,21866.0
2016-07,20594.096429032685,20363.0
2016-08,23528.128092292336,19774.0
2016-09,28985.71317755694,22241.0
2016-10,27765.2826712499,24028.0
2016-11,28329.69278214914,26851.0
2016-12,33257.13859518843,31027.0
2017-01,27171.16822947681,23182.0
2017-02,28306.085298791993,22723.0
2017-03,23343.608359739992,24704.0
2017-04,23733.532139754134,24873.0
2017-05,22964.180672685216,22929.0
2017-06,18495.586195154894,16747.0
