diagym,predictData,realData
2016-05,26967.293728755812,25140.0
2016-06,22189.077759201107,19582.0
2016-07,18071.121543240235,17252.0
2016-08,16990.55193220978,16988.0
2016-09,22920.487632116638,20078.0
2016-10,24205.555165191243,20074.0
2016-11,20782.380131603924,20629.0
2016-12,25184.10496489486,22495.0
2017-01,22145.30672739271,21018.0
2017-02,24253.731625234992,18121.0
2017-03,17420.836954529175,20904.0
2017-04,17609.208310389087,22288.0
2017-05,19653.115189089804,20547.0
2017-06,15271.455136711957,17828.0
