diagym,predictData,realData
2016-05,26142.84237818619,25533.0
2016-06,19943.131710318863,22519.0
2016-07,21749.446287749583,22343.0
2016-08,20728.940441784533,21723.0
2016-09,31215.448163697714,25330.0
2016-10,27035.12993202085,26765.0
2016-11,29134.185434050407,26851.0
2016-12,30814.39403166432,35293.0
2017-01,29132.003139742974,23491.0
2017-02,31981.68715311996,23873.0
2017-03,25445.42961450029,31989.0
2017-04,30975.580571126808,28749.0
2017-05,24609.538172516684,25609.0
2017-06,22459.400474276546,23771.0
